side_a_device,side_a_type,side_a_name,side_b_name,side_b_type,side_b_device,status
SRV-003-001,dcim.interface,IDRAC,0/25,dcim.interface,SWT-003-001,connected
SRV-003-002,dcim.interface,IDRAC,0/26,dcim.interface,SWT-003-001,connected
SRV-003-003,dcim.interface,IDRAC,0/27,dcim.interface,SWT-003-001,connected
SRV-003-004,dcim.interface,IDRAC,0/28,dcim.interface,SWT-003-001,connected
SRV-003-005,dcim.interface,IDRAC,0/29,dcim.interface,SWT-003-001,connected
SRV-003-006,dcim.interface,IDRAC,0/25,dcim.interface,SWT-003-002,connected
SRV-003-007,dcim.interface,IDRAC,0/26,dcim.interface,SWT-003-002,connected
SRV-003-008,dcim.interface,IDRAC,0/27,dcim.interface,SWT-003-002,connected
SRV-003-009,dcim.interface,IDRAC,0/28,dcim.interface,SWT-003-002,connected
SRV-003-010,dcim.interface,IDRAC,0/29,dcim.interface,SWT-003-002,connected
SRV-003-011,dcim.interface,IDRAC,0/30,dcim.interface,SWT-003-001,connected
SRV-003-012,dcim.interface,IDRAC,0/31,dcim.interface,SWT-003-001,connected
SRV-003-013,dcim.interface,IDRAC,0/32,dcim.interface,SWT-003-001,connected
SRV-003-014,dcim.interface,IDRAC,0/33,dcim.interface,SWT-003-001,connected
SRV-003-015,dcim.interface,IDRAC,0/34,dcim.interface,SWT-003-001,connected
SRV-003-016,dcim.interface,IDRAC,0/30,dcim.interface,SWT-003-002,connected
SRV-003-017,dcim.interface,IDRAC,0/31,dcim.interface,SWT-003-002,connected
SRV-003-018,dcim.interface,IDRAC,0/32,dcim.interface,SWT-003-002,connected
SRV-003-001,dcim.interface,SLOT-0-NIC1-1,0/1,dcim.interface,SWT-003-001,connected
SRV-003-001,dcim.interface,SLOT-0-NIC1-2,0/1,dcim.interface,SWT-003-002,connected
SRV-003-002,dcim.interface,SLOT-0-NIC1-1,0/2,dcim.interface,SWT-003-001,connected
SRV-003-002,dcim.interface,SLOT-0-NIC1-2,0/2,dcim.interface,SWT-003-002,connected
SRV-003-003,dcim.interface,SLOT-0-NIC1-1,0/3,dcim.interface,SWT-003-001,connected
SRV-003-003,dcim.interface,SLOT-0-NIC1-2,0/3,dcim.interface,SWT-003-002,connected
SRV-003-004,dcim.interface,SLOT-0-NIC1-1,0/4,dcim.interface,SWT-003-001,connected
SRV-003-004,dcim.interface,SLOT-0-NIC1-2,0/4,dcim.interface,SWT-003-002,connected
SRV-003-005,dcim.interface,SLOT-0-NIC1-1,0/5,dcim.interface,SWT-003-001,connected
SRV-003-005,dcim.interface,SLOT-0-NIC1-2,0/5,dcim.interface,SWT-003-002,connected
SRV-003-006,dcim.interface,SLOT-0-NIC1-1,0/6,dcim.interface,SWT-003-001,connected
